"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";"Penalty"
"11";"173";"Anitra";"Vognild";"F";"NOR";"Bjerke IL Ski";"NC Fellesstart Senior, 10.01.2016";"K20-21";"41:38.8";"3:17.4";"2016-01-10T11:11:38.8000000";"";""
"12";"165";"Kristin Bugge";"Lyche";"F";"NOR";"Bærums Skiklub / Team Statkraft Oslofjord";"NC Fellesstart Senior, 10.01.2016";"K20-21";"41:41.8";"3:20.4";"2016-01-10T11:11:41.8000000";"";""
"13";"151";"Turi Storstrøm";"Thoresen";"F";"NOR";"Alvdal IL / Team Bardøla";"NC Fellesstart Senior, 10.01.2016";"K20-21";"41:44.7";"3:23.3";"2016-01-10T11:11:44.7000000";"";""
"14";"156";"Karoline Offigstad";"Knotten";"F";"NOR";"Vingrom IL";"NC Fellesstart Senior, 10.01.2016";"K20-21";"41:58.8";"3:37.4";"2016-01-10T11:11:58.8000000";"";""
"15";"169";"Frida Lovise";"Sørmo";"F";"NOR";"Bossmo & Ytteren IL / Team Troms & Finnmark";"NC Fellesstart Senior, 10.01.2016";"K20-21";"42:59.0";"4:37.6";"2016-01-10T11:12:59.0000000";"";""
"16";"162";"Hedda Lundeberg";"Aas";"F";"NOR";"Bø Skiskyttarlag";"NC Fellesstart Senior, 10.01.2016";"K20-21";"43:02.4";"4:41.0";"2016-01-10T11:13:02.4000000";"";""
"17";"191";"Emma";"Lindberg";"F";"SWE";"";"NC Fellesstart Senior, 10.01.2016";"K20-21";"43:18.8";"4:57.4";"2016-01-10T11:14:48.8000000";"";""
"18";"170";"Ragnhild";"Oftedal";"F";"NOR";"Haltdalen IL";"NC Fellesstart Senior, 10.01.2016";"K20-21";"43:46.5";"5:25.1";"2016-01-10T11:13:46.5000000";"";""
"19";"171";"Runa Simonsen";"Blix";"F";"NOR";"Tromsø Skiskytterlag";"NC Fellesstart Senior, 10.01.2016";"K20-21";"43:54.8";"5:33.4";"2016-01-10T11:13:54.8000000";"";""
"20";"179";"Line";"Sjåheim";"F";"NOR";"Østre Toten Skilag";"NC Fellesstart Senior, 10.01.2016";"K20-21";"43:57.2";"5:35.8";"2016-01-10T11:13:57.2000000";"";""
"21";"166";"Mari";"Sverdrup";"F";"NOR";"Dombås IL";"NC Fellesstart Senior, 10.01.2016";"K20-21";"44:30.4";"6:09.0";"2016-01-10T11:14:30.4000000";"";""
"22";"182";"Mari Sollid";"EIDE";"F";"NOR";"Stårheim IL";"NC Fellesstart Senior, 10.01.2016";"K20-21";"44:30.5";"6:09.1";"2016-01-10T11:16:00.5000000";"";""
"23";"176";"Silje";"Bakken";"F";"NOR";"Leik, IL";"NC Fellesstart Senior, 10.01.2016";"K20-21";"44:31.9";"6:10.5";"2016-01-10T11:14:31.9000000";"";""
